name	arabicName	scientificName	price	imageUrl	categoryName	company	route
ACYCLOVIR 400 STADA 35 TABS.	أسيكلوفير 400 ستادا	ACYCLOVIR	210.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/acyclovir-stada-400-mg-35-tablets-689532.jpg?v=1698896109	ANTI-VIRAL.NUCLEOSIDE	GLOBAL NAPI PHARMACEUTICALS > STADA	ORAL.SOLID
ACYCLOVIR 800 STADA 35 TABS.	أسيكلوفير 800 ستادا	ACYCLOVIR	280.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/acyclovir-stada-800-mg-35-tablets-939342.jpg?v=1736607097	ANTI-VIRAL.NUCLEOSIDE	GLOBAL NAPI PHARMACEUTICALS > STADA	ORAL.SOLID
ADOLOR 10 MG 20 F.C.TABS.	أدولور	KETOROLAC TROMETHAMINE	40.0	https://demov2.egypt.dawatech.com/web/image/product.template/18249/image_1920	NSAID.ACETIC ACID DERIVATIVES	PHARCO	ORAL.SOLID
ADPORT 1 MG 100 CAPS.	أدبورت	TACROLIMUS	2145.0	https://demov2.egypt.dawatech.com/web/image/product.template/509/image_1920	IMMUNOSUPPRESSANT	SANDOZ > NOVARTIS PHARMA SANDOZ DIVISION	ORAL.SOLID
ADWITINE 30 MG 30 CAPS.	أدويتيني	DULOXETINE	243.0	https://demov2.egypt.dawatech.com/web/image/product.template/4563/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	ADWIA	ORAL.SOLID
ADWITINE 60 MG 30 CAPS.	أدويتيني	DULOXETINE	300.0	https://demov2.egypt.dawatech.com/web/image/product.template/6651/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	ADWIA	ORAL.SOLID
AERIUS 5 MG 20 F.C.TABS.	أيريوس	DESLORATADINE	118.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aerius-5-mg-20-tablets-614529.jpg?v=1687731892	ANTI-HISTAMINE.ANTI-ALLERGY	SCHERING PLOUGH > RAMCO	ORAL.SOLID
AFTER MEALS 20 CAPS.	أفتير ميالس	CHAMOMILE+GINGER+ANISE+BROMELAIN+FENNEL+PEPPERMINT+PAPAIN	50.0	https://demov2.egypt.dawatech.com/web/image/product.template/14013/image_1920	GIT DISTURBANCES	NERHADOU INTERNATIONAL CO.	ORAL.SOLID
AGIOLAX 12 GRANULES IN SACHETS	أجيولاكس إن ساتشيتس	ISPAGHULA HUSK+PLANTAGO SEED+SENNA	150.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/agiolax-granules-12-sachets-727347.jpg?v=1696872835	LAXATIVE	CID > VIATRIS HEALTHCARE	EFF
ALBENDAZOLE 400 MG 6 TABS	ألبيندازولي	ALBENDAZOLE	46.0	https://demov2.egypt.dawatech.com/web/image/product.template/14326/image_1920	ANTHELMINTIC	PHARMA CURE PHARMACEUTICALS > PHARMA CURE	ORAL.SOLID
ALBOTHYL 90MG 8 VAG. SUPP.	ألبوثيل 8 فاج. سوبب	POLICRESULEN	64.0	https://demov2.egypt.dawatech.com/web/image/product.template/12561/image_1920	ANTISEPTIC.VAGANIAL INFECTION	AUG PHARMA	VAGINAL
ALBUSTIX 8 MG 30 TABS.	ألبوستيكس	CANDESARTAN CILEXETIL	81.0	https://demov2.egypt.dawatech.com/web/image/product.template/15953/image_1920	ANTIHYPERTENSIVE.ARBS	FUTURE PHARMACEUTICAL INDUSTRIES > CONCORD PHARMACEUTICAL INDUSTRIES	ORAL.SOLID
ALCAFTAPRO 0.25% EYE DROPS 3 ML	ألكافتابرو 0.25% إيي	ALCAFTADINE	95.5	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alcaftapro-025-eye-drops-3-ml-1626182.jpg?v=1758854003	ANTI-HISTAMINE.SECOND-GENERATION	EVA PHARMA	EYE
ALDARA 5% CREAM 12 SACHETS	ألدارا 5%	IMIQUIMOD	879.0	https://demov2.egypt.dawatech.com/web/image/product.template/1308/image_1920	IMMUNE RESPONSE MODIFIER	MEDA AB > ONE PHARMA TECH	TOPICAL
ALDOMET 250 MG 30 TAB	ألدوميت	METHYLDOPA	111.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/aldomet-250-mg-30-tablets-164866.jpg?v=1705421081	ANTIHYPERTENSIVES.CENTERAL ALPHA 2 AGONIST	KAHIRA	ORAL.SOLID
ALERGOLIBER 10 MG 20 F.C. TABS.	أليرجوليبير	RUPATADINE	60.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alergoliber-10-mg-20-tablets-711195.jpg?v=1694881033	ANTI-HISTAMINE.SECOND-GENERATION	ATCO PHARMA	ORAL.SOLID
ALFACLINDAMYCIN 300 MG 10 CAPS.	ألفاكلينداميسين	CLINDAMYCIN	69.0	https://demov2.egypt.dawatech.com/web/image/product.template/17066/image_1920	ANTIBIOTIC.LINCOMYCINS	ATCO PHARMA > ROTABIOGEN	ORAL.SOLID
ALGESAL SURACTIVE CREAM 40 GM	ألجيسال سوراكتيفي	DIETHYLAMINE+MYRTECAINE+SALICYLIC ACID	46.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/algesal-suractive-cream-40-gm-276908.jpg?v=1687731894	TOPICAL ANALGESIC	CHEMIPHARM	TOPICAL
ALKAPRESS 10 MG 30 TAB.	ألكابريسس	AMLODIPINE	108.0	https://demov2.egypt.dawatech.com/web/image/product.template/11277/image_1920	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	HIKMA PHARMA	ORAL.SOLID
ALKAPRESS 5 MG 20 TAB.	ألكابريسس	AMLODIPINE	58.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/alkapress-5-mg-20-tablets-869347.jpg?v=1728527892	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	HIKMA PHARMA	ORAL.SOLID
ALKAPRIDE 50 MG 30 SCORED TABS.	ألكابريدي 30 سكوريد	ITOPRIDE	90.0	https://demov2.egypt.dawatech.com/web/image/product.template/10411/image_1920	MOTILITY STIMULANT	FUTURE PHARMACEUTICAL INDUSTRIES (FPI) > UTOPIA	ORAL.SOLID
ALL-VENT SYRUP 125ML	ألل-فينت	BROMHEXINE+GUAIFENESIN+MENTHOL+TERBUTALINE	34.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/all-vent-syrup-125-ml-400319.jpg?v=1687634952	COUGH PRODUCTS	BORG	ORAL.LIQUID
ALLEAR 5 MG 20 F.C.TABS.	ألليار	LEVOCETIRIZINE	78.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/allear-5-mg-20-tablets-325322.jpg?v=1696959822	ANTI-HISTAMINE.NON-SEDATIVE.THIRD-GENERATION	WESTERN PHARMACEUTICALS INDUSTRIES	ORAL.SOLID
ALLERBAN S.R. 2 MG 20 TABS.	ألليربان س.ر	KETOTIFEN	38.0	https://demov2.egypt.dawatech.com/web/image/product.template/15408/image_1920	ANTI-HISTAMINE.SECOND-GENERATION	MULTI-APEX	ORAL.SOLID
ALLERDEP NASAL SPRAY 60 ML	ألليرديب	ISOTONIC SEAWATER+MARIGOLD+BLACK ALDER+BLACKCURRANT+SILVER FIR+DOG ROSE+LUFFA+PERILLA	300.0	https://demov2.egypt.dawatech.com/web/image/product.template/3445/image_1920	NASAL DECONGESTANT	ERBOZETA S.P.A > GLOBE INTERNATIONAL PHARMACEUTICALS	SPRAY
ALLERFEN 180 MG 20 F.C. TABS.	ألليرفين	FEXOFENADINE	84.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/allerfen-180-mg-20-tablets-207446.jpg?v=1710451578	ANTI-HISTAMINE.ANTI-ALLERGY	AMOUN	ORAL.SOLID
ALLERFEN 60 MG 30 F.C.TABS.	ألليرفين	FEXOFENADINE	42.0	https://demov2.egypt.dawatech.com/web/image/product.template/17109/image_1920	ANTI-HISTAMINE.ANTI-ALLERGY	AMOUN	ORAL.SOLID
ALLERGEX 20 MG 20 TABS.	ألليرجيكس	CHLORPHENOXAMINE	4.5	https://demov2.egypt.dawatech.com/web/image/product.template/18815/image_1920	ANTI-HISTAMINE.ANTI-ALLERGY	EIPICO	ORAL.SOLID
ALLERGEX CAFFEINE 20 TABS.	ألليرجيكس كاففايني	CAFFEINE+CHLORPHENOXAMINE	20.0	https://demov2.egypt.dawatech.com/web/image/product.template/18812/image_1920	ANTIHISTAMINE	EIPICO	ORAL.SOLID
ALLERGYL 4 MG 20 TABS.	ألليرجيل	CHLORPHENIRAMINE	13.0	https://demov2.egypt.dawatech.com/web/image/product.template/18748/image_1920	ANTI-HISTAMINE.ANTI-ALLERGY	ARAB DRUG COMPANY (ADCO)	UNKNOWN
ALLERZONE 0.1% CREAM 25 GM	ألليرزوني 0.1%	MOMETASONE FUROATE	40.0	https://demov2.egypt.dawatech.com/web/image/product.template/17666/image_1920	ANTI-INFLAMMATORY.GLUCOCORTICOID.	EGPI	TOPICAL
ALPHANOVA 0.15% EYE DROPS 5 ML	ألفانوفا 0.15% إيي	BRIMONIDINE TARTRATE	57.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alphanova-015-eye-drops-5-ml-815093.jpg?v=1687731993	ANTIGLAUCOMA	ORCHIDIA	UNKNOWN
ALPHAVIM 300 - 20 CAPS.	ألفافيم 300	THIOCTIC ACID(ALPHA LIPOIC ACID)+VITAMIN B12+VITAMIN B6+FOLIC ACID+GINKO BILOBA+BACOPA EXTRACT	160.0	https://demov2.egypt.dawatech.com/web/image/product.template/6852/image_1920	ANTIOXIDANT	COPAD PHARMA	ORAL.SOLID
ALPHINTERN 30 F.C.TABS.	ألفينتيرن	CHYMOTRYPSIN+TRYPSIN	87.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alphintern-30-tablets-238243.jpg?v=1687634811	ENZYME REPLACEMENT THERAPY	AMOUN	ORAL.SOLID
ALPRAX 1 MG 20 TABS.	ألبراكس	ALPRAZOLAM	46.0	https://demov2.egypt.dawatech.com/web/image/product.template/17223/image_1920	PSYCHIATRIC.ANXIOLYTICS-HYPNOTICS	SIGMA	ORAL.SOLID
ALVEOLIN SYRUP 100 ML	ألفيولين	GRINDELIA HERBA EXTRACT+PRIMULA RADIX EXTRACT+THYME HERB EXTRACT+PIMPINELLA RADIX EXTRACT+EUCALYPTUS	50.0	https://demov2.egypt.dawatech.com/web/image/product.template/16120/image_1920	COUGH PRODUCTS	EGPI	ORAL.LIQUID
ALVEOLIN-P SYRUP 100 ML	ألفيولين-ب	GRINDELIA HERBA EXTRACT+PRIMULA RADIX EXTRACT+THYME HERB EXTRACT+PIMPINELLA RADIX EXTRACT+ANISE OIL+	50.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alveolin-p-syrup-100-ml-832954.jpg?v=1707155068	COUGH PRODUCTS	EGPI	ORAL.LIQUID
ALZMENDA 10 MG 21 F.C.TAB	ألزميندا	MEMANTINE	75.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/alzmenda-10-mg-21-tablets-603744.jpg?v=1687634959	DOPAMINE D2 AGONIST	MARCYRL PHARMACEUTICAL INDUSTRIES (MPI)	ORAL.SOLID
AMARYL 1 MG 30 TABS.	أماريل	GLIMEPIRIDE	40.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amaryl-1-mg-30-tablets-573408.jpg?v=1724440984	ANTI-DIABETIC.SECRETAGOGUES.SULFONYLUREA	SANOFI	ORAL.SOLID
AMARYL 2 MG 30 TABS.	أماريل	GLIMEPIRIDE	78.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amaryl-2-mg-30-tablets-208077.jpg?v=1713405820	ANTI-DIABETIC.SECRETAGOGUES.SULFONYLUREA	SANOFI	ORAL.SOLID
AMARYL 3 MG 30 TABS.	أماريل	GLIMEPIRIDE	87.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amaryl-3-mg-30-tablets-677125.jpg?v=1696872836	ANTI-DIABETIC.SECRETAGOGUES.SULFONYLUREA	SANOFI	ORAL.SOLID
AMARYL 4 MG 30 TABS.	أماريل	GLIMEPIRIDE	108.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amaryl-4-mg-30-tablets-520735.jpg?v=1699069838	ANTI-DIABETIC.SECRETAGOGUES.SULFONYLUREA	SANOFI	ORAL.SOLID
AMBEZIM-G 30 F.C. TABS.	أمبيزيم-ج	CHYMOTRYPSIN+TRYPSIN	102.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/ambezim-g-30-tablets-249701.jpg?v=1687634960	ENZYME REPLACEMENT THERAPY	GLOBAL NAPI PHARMACEUTICALS	ORAL.SOLID
AMIKACIN SPRAY 100 ML	أميكاسين	AMIKACIN	53.0	https://demov2.egypt.dawatech.com/web/image/product.template/13651/image_1920	TOPICAL ANTIBIOTIC	EGYPTIAN CO. FOR ADV. PHARMA. (ECAP) > ACDIMA INTERNATIONAL TRADING	SPRAY
AMILO 5 MG 30 TAB.	أميلو	AMLODIPINE	54.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amilo-5-mg-30-tablets-748645.jpg?v=1729197098	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	ALFACURE PHARMACEUTICALS	ORAL.SOLID
AMINORENOCARE 100 F.C. TABS.	أمينورينوكاري	ALPHA KETO ANALOG OF(L-ISOLEUCINE+L-LEUCINE+L-PHENYLALANINE+L-VALINE+L-METHIONINE)+L-LYSINE+L-THREONINE+L-TRYPTOPHAN+L-HISTIDINE+L-TYROSINE	900.0	https://demov2.egypt.dawatech.com/web/image/product.template/1208/image_1920	KIDNEY FAILURE	AMOUN	ORAL.SOLID
AMIPRIDE 200 MG 30 SCORED TAB.	أميبريدي 30 سكوريد	AMISULPRIDE	243.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/amipride-200-mg-30-tabs-204343.jpg?v=1746797938	PSYCHIATRIC.ANTIPSYCHOTICS	ANDALOUS PHARMA	ORAL.SOLID
AMIPRIDE 400 MG 20 SCORED F.C. TAB.	أميبريدي 20 سكوريد	AMISULPRIDE	198.0	https://demov2.egypt.dawatech.com/web/image/product.template/7754/image_1920	PSYCHIATRIC.ANTIPSYCHOTICS	ANDALOUS PHARMA	ORAL.SOLID
AMLODIPINE 5 MG 30 TAB.	أملوديبيني	AMLODIPINE	60.0	https://demov2.egypt.dawatech.com/web/image/product.template/14767/image_1920	ANTIHYPERTENSIVE.SELECTIVE CALCIUM CHANNEL BLOCKER	AMRIYA	ORAL.SOLID
AMLOSAZIDE 10/25/40 MG 30 F.C. TABS.	أملوسازيدي 10/25/	AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE	141.0	https://demov2.egypt.dawatech.com/web/image/product.template/9345/image_1920	ANTI-HYPERTENSIVE.COMBINED ANGIOTENSIN BLOCKER & CA++ CHANNEL BLOCKER & DIURETIC	ATCO PHARMA	ORAL.SOLID
AMLOSAZIDE 5/12.5/20 MG 30 F.C. TABS.	أملوسازيدي 5/12.5/	AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE	99.0	https://demov2.egypt.dawatech.com/web/image/product.template/11738/image_1920	ANTI-HYPERTENSIVE.COMBINED ANGIOTENSIN BLOCKER & CA++ CHANNEL BLOCKER & DIURETIC	ATCO PHARMA	ORAL.SOLID
AMLOSAZIDE 5/12.5/40 MG 30 F.C. TABS.	أملوسازيدي 5/12.5/	AMLODIPINE+OLMESARTAN+HYDROCHLOROTHIAZIDE	123.0	https://demov2.egypt.dawatech.com/web/image/product.template/11264/image_1920	ANTI-HYPERTENSIVE.COMBINED ANGIOTENSIN BLOCKER & CA++ CHANNEL BLOCKER & DIURETIC	ATCO PHARMA	ORAL.SOLID
AMLOVERAN 10/10MG 30 TABS.	أملوفيران 10/	AMLODIPINE + PERINDOPRIL	216.0	https://demov2.egypt.dawatech.com/web/image/product.template/8635/image_1920	ANTI-HYPERTENSIVE.COMBINED ACE WITH CALCIUM CHANNEL BLOCKER	EVA PHARMA	ORAL.SOLID
AMOSAR FORTE 100/25 MG 30 F.C.TAB.	أموسار فورتي 100/	HYDROCHLOROTHIAZIDE+LOSARTAN	117.0	https://demov2.egypt.dawatech.com/web/image/product.template/10866/image_1920	ANTI-HYPERTENSIVE. COMBINED ANGIOTENSIN BLOCKER WITH DIURETIC	AMOUN	ORAL.SOLID
AMRIZOLE 1 GM 5 RECTAL SUPP.	أمريزولي 5 سوبب	METRONIDAZOLE	10.0	https://demov2.egypt.dawatech.com/web/image/product.template/18696/image_1920	ANTIPROTOZOAL.NITROIMIDAZOLE	AMRIYA	RECTAL
AMRIZOLE 250 MG 20 TABS.	أمريزولي	METRONIDAZOLE	20.0	https://demov2.egypt.dawatech.com/web/image/product.template/17589/image_1920	ANTIPROTOZOAL.NITROIMIDAZOLE	AMRIYA	ORAL.SOLID
AMRIZOLE 500 MG 20 TABS.	أمريزولي	METRONIDAZOLE	25.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/amrizole-500-mg-20-tablets-287542.jpg?v=1687634960	ANTIPROTOZOAL.NITROIMIDAZOLE	AMRIYA	ORAL.SOLID
ANAFRONIL 25 MG 30 TAB.	أنافرونيل	CLOMIPRAMINE	66.0	https://demov2.egypt.dawatech.com/web/image/product.template/14657/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	NOVARTIS > SANDOZ	ORAL.SOLID
ANAFRONIL SR 75 MG 20 F.C.TAB.	أنافرونيل سر	CLOMIPRAMINE	106.0	https://demov2.egypt.dawatech.com/web/image/product.template/9243/image_1920	PSYCHIATRIC.ANTIDEPRESSANTS	NOVARTIS > SANDOZ	ORAL.SOLID
ANALLERGE 4 MG 60 TAB.	أنالليرجي	CHLORPHENIRAMINE	30.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/anallerge-4-mg-60-tablets-9726079.jpg?v=1766839645	ANTI-HISTAMINE.ANTI-ALLERGY	KAHIRA	ORAL.SOLID
ANARCOL 50 MG 30 F.C.TABS.	أناركول	NALTREXONE	777.0	https://demov2.egypt.dawatech.com/web/image/product.template/3698/image_1920	ANALGESICS.NARCOTIC OPIOID	MULTI-APEX	ORAL.SOLID
ANASTROZOL-SYNTHON 1 MG 28 F.C.TABS.	أناستروزول-سينثون	ANASTROZOLE	706.0	https://demov2.egypt.dawatech.com/web/image/product.template/2307/image_1920	NON-STEROIDAL AROMATASE-INHIBITOR	SYNTHON HISPANIA S.L. > ABOUKIR TRADING	ORAL.SOLID
ANCAVAZ 10/5 MG 20 TABS.	أنكافاز 10/	AMLODIPINE + PERINDOPRIL	51.5	https://demov2.egypt.dawatech.com/web/image/product.template/14247/image_1920	ANTI-HYPERTENSIVE.COMBINED ACE WITH CALCIUM CHANNEL BLOCKER	ZETA PHARM	ORAL.SOLID
ANCAVAZ 5/5 MG 20 TABS.	أنكافاز 5/	AMLODIPINE + PERINDOPRIL	47.0	https://demov2.egypt.dawatech.com/web/image/product.template/14247/image_1920	ANTI-HYPERTENSIVE.COMBINED ACE WITH CALCIUM CHANNEL BLOCKER	ZETA PHARM	ORAL.SOLID
ANDOMATOID 2 MG 28 F.C.TABS.	أندوماتويد	BARICITINIB	1100.0	https://demov2.egypt.dawatech.com/web/image/product.template/707/image_1920	JANUS KINASE (JAK) INHIBITOR	EVA PHARMA > ANDALOUS PHARMA	ORAL.SOLID
ANDOMATOID 4 MG 28 F.C.TABS.	أندوماتويد	BARICITINIB	2200.0	https://demov2.egypt.dawatech.com/web/image/product.template/430/image_1920	JANUS KINASE (JAK) INHIBITOR	EVA PHARMA > ANDALOUS PHARMA	ORAL.SOLID
ANDOPENTENE XR 300 MG 20 F.C. TABS.	أندوبينتيني كسر	GABAPENTIN	90.0	https://demov2.egypt.dawatech.com/web/image/product.template/7875/image_1920	ANTI-EPILEPTIC.GABA ANALOGS	ANDALOUS PHARMA	ORAL.SOLID
ANDOPOXETINE 60 MG 6 F.C. TABS.	أندوبوكسيتيني	DAPOXETINE	116.0	https://demov2.egypt.dawatech.com/web/image/product.template/11265/image_1920	PREMATURE EJACULATION	INTERNATIONAL DRUG INDUSTRIES > ANDALOUS PHARMA	ORAL.SOLID
ANDORIVABAN 10 MG 20 TABS	أندوريفابان	RIVAROXABAN	152.0	https://demov2.egypt.dawatech.com/web/image/product.template/7030/image_1920	ANTIPLATLET.DIRECT FACTOR XA INHIBITOR	ANDALOUS PHARMA	ORAL.SOLID
ANDORIVABAN 20 MG 20 F.C. TABS.	أندوريفابان	RIVAROXABAN	260.0	https://demov2.egypt.dawatech.com/web/image/product.template/4132/image_1920	ANTIPLATLET.DIRECT FACTOR XA INHIBITOR	ANDALOUS PHARMA	ORAL.SOLID
ANDOURISTAT 80 MG 20 F.C. TABLETS	أندوريستات	FEBUXOSTAT	80.0	https://demov2.egypt.dawatech.com/web/image/product.template/13244/image_1920	ANTIGOUT	ANDALOUS PHARMA	ORAL.SOLID
ANDOVIMPAMIDE 100 MG 30 TABS.	أندوفيمباميدي	LACOSAMIDE	273.0	https://demov2.egypt.dawatech.com/web/image/product.template/3944/image_1920	ANTI-EPILEPTIC	ANDALOUS PHARMA	ORAL.SOLID
ANGIOSARTAN 10MG 28 F.C. TABS.	أنجيوسارتان	OLMESARTAN	64.0	https://demov2.egypt.dawatech.com/web/image/product.template/14208/image_1920	ANTI-HYPERTENSIVE.ANGIOTENSIN BLOCKER	CHEMIPHARM	ORAL.SOLID
ANGIOSARTAN 20MG 28 F.C. TABS.	أنجيوسارتان	OLMESARTAN	72.0	https://demov2.egypt.dawatech.com/web/image/product.template/15191/image_1920	ANTI-HYPERTENSIVE.ANGIOTENSIN BLOCKER	CHEMIPHARM	ORAL.SOLID
ANSELACOX 90 MG 30 F.C.TABS.	أنسيلاكوكس	ETORICOXIB	315.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/anselacox-90-mg-30-tablets-136418.jpg?v=1705421079	NSAID.SELECTIVE COX-2 INHIBITORS	EVA PHARMA	ORAL.SOLID
ANTIFLU 20 CAPS.	أنتيفلو	CAFFEINE+CHLORPHENIRAMINE+IBUPROFEN+PSEUDOEPHEDRINE	38.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/antiflu-20-capsules-811150.jpg?v=1728393734	COLD & FLU DRUGS	ADWIA	ORAL.SOLID
ANTODINE 20 MG 30 F.C.TABS.	أنتوديني	FAMOTIDINE	60.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/antodine-20-mg-30-tablets-631086.jpg?v=1700307205	PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST	AMOUN	ORAL.SOLID
ANTODINE 40 MG 30 F.C.TABS.	أنتوديني	FAMOTIDINE	93.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/antodine-40-mg-30-tablets-209577.jpg?v=1687634962	PEPTIC ULCER.ANTI-HISTAMINE.H2 ANTAGONIST	AMOUN	ORAL.SOLID
ANTOPRAL 20 MG 14 TAB.	أنتوبرال	PANTOPRAZOLE	88.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/antopral-20-mg-14-tablets-657825.jpg?v=1707155068	PEPTIC ULCER.PROTON PUMP INHIBITOR	NOVARTIS	ORAL.SOLID
ANTOPRAL 40 MG 14 TAB.	أنتوبرال	PANTOPRAZOLE	126.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/antopral-40-mg-14-tablets-612976.jpg?v=1710536014	PEPTIC ULCER.PROTON PUMP INHIBITOR	NOVARTIS	ORAL.SOLID
ANUVA 50MG 10 DISPERSIBLE TAB.	أنوفا 10 ديسبيرسيبلي	DICLOFENAC SODIUM	27.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/products/anuva-10-dispersible-tablets-595111.jpg?v=1687634961	NSAID.ACETIC ACID DERIVATIVES	NOVARTIS	ORAL.SOLID
ANVIZIRAM 200 MG 40 F.C.TABS.	أنفيزيرام	FAVIPIRAVIR	320.0	https://demov2.egypt.dawatech.com/web/image/product.template/968/image_1920	ANTIVIRAL	RAMEDA	ORAL.SOLID
APETOID 20 MG 30 F.C.TABS.	أبيتويد	LEFLUNOMIDE	180.0	https://cdn.shopify.com/s/files/1/0774/7151/4932/files/apetoid-20-mg-30-tablets-1172387.jpg?v=1766462188	IMMUNOSUPPRESSIVE AGENT.ANTIRHEUMATIC ANTIVIRAL AGENT.PYRIMIDINE SYNTHESIS INHIBITOR	MULTI-APEX	ORAL.SOLID
APIXATRACK 5 MG 30 F.C. TABS.	أبيكساتراك	APIXABAN	366.0	https://demov2.egypt.dawatech.com/web/image/product.template/2639/image_1920	ANTICOAGULANT	EVA PHARMA	ORAL.SOLID
